                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.66251,                0.31576,                0.92007,                0.98252,                0.98172,                0.99373,                0.78321,                0.85308,                0.33551,                 1.0166,             0.00027575,             0.00027575,             0.00027575
                    127,                0.67392,                0.32522,                  0.929,                0.98669,                0.98255,                0.99371,                0.78059,                0.84777,                0.33348,                 1.0113,             0.00027221,             0.00027221,             0.00027221
                    128,                0.63974,                0.30313,                0.90931,                0.98589,                 0.9859,                0.99357,                0.77457,                0.85901,                0.32711,                 1.0183,             0.00026868,             0.00026868,             0.00026868
                    129,                0.64243,                0.31306,                0.91441,                0.98536,                0.98386,                0.99335,                0.76903,                0.86832,                0.32489,                 1.0281,             0.00026514,             0.00026514,             0.00026514
                    130,                0.63355,                0.30388,                0.90768,                0.98393,                0.98599,                0.99363,                0.77633,                0.85932,                0.32516,                 1.0151,             0.00026161,             0.00026161,             0.00026161
                    131,                0.65024,                 0.3094,                0.91398,                0.98537,                0.98369,                0.99366,                0.77904,                0.85583,                0.32179,                 1.0133,             0.00025808,             0.00025808,             0.00025808
                    132,                0.67094,                 0.3135,                0.92325,                0.98501,                0.98531,                0.99384,                0.77249,                 0.8641,                0.32488,                 1.0203,             0.00025454,             0.00025454,             0.00025454
                    133,                 0.6403,                 0.3091,                0.91282,                0.98428,                0.98125,                0.99333,                0.77973,                0.85901,                0.32536,                 1.0195,             0.00025101,             0.00025101,             0.00025101
                    134,                0.65047,                0.31411,                0.92374,                0.98347,                0.98589,                0.99369,                0.77459,                0.86176,                0.32582,                 1.0188,             0.00024747,             0.00024747,             0.00024747
                    135,                0.64338,                0.31065,                0.91119,                0.98576,                0.98471,                0.99381,                0.77994,                0.84753,                0.32643,                 1.0126,             0.00024394,             0.00024394,             0.00024394
                    136,                0.62658,                0.29884,                0.91105,                0.97724,                0.98692,                0.99372,                0.77655,                0.85319,                0.32103,                 1.0135,              0.0002404,              0.0002404,              0.0002404
                    137,                0.62719,                0.30304,                0.91253,                0.98085,                0.98407,                0.99368,                0.77683,                0.86364,                0.32508,                 1.0194,             0.00023687,             0.00023687,             0.00023687
                    138,                0.63453,                0.30671,                0.91082,                 0.9834,                0.98782,                0.99397,                0.77256,                0.86148,                 0.3256,                 1.0235,             0.00023334,             0.00023334,             0.00023334
                    139,                0.63494,                0.30815,                0.91335,                0.98374,                0.98761,                0.99401,                0.77895,                0.85584,                0.32378,                 1.0197,              0.0002298,              0.0002298,              0.0002298
                    140,                 0.6145,                0.29764,                 0.9075,                0.98253,                0.98951,                0.99383,                0.77747,                0.84311,                 0.3192,                 1.0221,             0.00022627,             0.00022627,             0.00022627
                    141,                0.62145,                0.30126,                0.90765,                0.98634,                0.98507,                0.99396,                0.77772,                0.85185,                0.31842,                 1.0265,             0.00022273,             0.00022273,             0.00022273
                    142,                0.60954,                0.30469,                0.90887,                0.98775,                0.98773,                0.99406,                0.78059,                0.84208,                0.31524,                  1.025,              0.0002192,              0.0002192,              0.0002192
                    143,                0.60079,                 0.2915,                0.90056,                0.98682,                0.98542,                0.99369,                0.77868,                0.85108,                 0.3147,                 1.0311,             0.00021566,             0.00021566,             0.00021566
                    144,                0.61392,                0.29939,                0.91097,                 0.9819,                0.99046,                 0.9938,                0.77774,                0.85982,                0.31976,                 1.0341,             0.00021213,             0.00021213,             0.00021213
                    145,                0.61472,                0.29094,                0.91142,                0.98619,                0.98517,                0.99309,                 0.7778,                 0.8585,                0.31898,                 1.0317,              0.0002086,              0.0002086,              0.0002086
                    146,                0.62349,                0.30352,                0.91186,                0.98077,                0.98649,                0.99338,                0.77019,                0.85604,                0.31919,                 1.0289,             0.00020506,             0.00020506,             0.00020506
                    147,                0.60484,                0.29748,                0.90693,                0.98726,                0.98583,                0.99351,                0.76588,                 0.8606,                0.31692,                 1.0253,             0.00020153,             0.00020153,             0.00020153
                    148,                0.60805,                0.28788,                0.90002,                0.98319,                0.98898,                0.99358,                0.77292,                0.85131,                0.31837,                 1.0221,             0.00019799,             0.00019799,             0.00019799
                    149,                0.59939,                0.28845,                0.90229,                0.98438,                0.98673,                0.99348,                0.77893,                0.85552,                 0.3154,                 1.0233,             0.00019446,             0.00019446,             0.00019446
                    150,                0.60934,                0.29416,                0.90703,                0.98563,                0.98577,                0.99284,                0.77453,                0.85258,                0.32351,                 1.0233,             0.00019092,             0.00019092,             0.00019092
                    151,                0.59638,                  0.293,                 0.8961,                0.98805,                0.98382,                0.99245,                0.77562,                 0.8451,                0.32653,                 1.0187,             0.00018739,             0.00018739,             0.00018739
                    152,                0.60017,                0.28853,                0.89543,                0.98609,                0.98732,                0.99353,                0.77726,                0.85235,                0.31831,                 1.0206,             0.00018385,             0.00018385,             0.00018385
                    153,                0.61331,                0.29301,                0.91029,                0.98669,                0.98807,                0.99289,                0.77528,                0.85467,                0.32266,                 1.0236,             0.00018032,             0.00018032,             0.00018032
